"","SENTMON","SENTYR","SENSPLT0","GLMIN","TOTCHPTS","IS924C","WEAPSOC","STATMIN","CAROFFAP","ACCAP","SAFE","NEWCNVTN","PRESENT","MITROLHI","AGGROLHI","NEWRACE","MONSEX","AGE","EDUCATN","NEWCIT","BOOKERCD","reason","GDLINEHI","opafy","SENTRNGE"
"40265","6","2017","0","0","NA","0","NA","NA","NA","NA","NA","0","NA","NA","NA","NA","0","23","NA","NA","0","","NA",2017,NA
"40266","6","2017","0","0","NA","0","NA","NA","NA","NA","NA","0","NA","NA","NA","NA","NA","21","NA","NA","0","","NA",2017,NA
"40267","6","2017","10","10","6","0","0","0","0","0","NA","0","1","0","0","3","0","47","0","1","0","","2L1.2",2017,NA
"40268","6","2017","50","63","6","0","0","0","0","0","NA","1","1","0","0","2","0","31","34","0","10","2 3 4 11 1211 15 60 61 826 872","2K2.1",2017,NA
"40269","10","2016","6","NA","0","0","NA","NA","NA","NA","NA","0","1","NA","NA","2","1","53","12","0","0","","NA",2017,NA
"40270","6","2017","0","57","7","0","0","0","0","0","NA","0","1","0","0","3","0","49","5","1","5","19","2L1.2",2017,NA
"40271","6","2017","4","63","0","0","1","0","0","0","NA","0","2","0","0","2","0","29","23","0","5","19 2 3 17 18 61","2H1.1",2017,NA
"40272","6","2017","72","151","0","0","0","60","0","0","NA","0","2","0","0","1","0","46","21","0","10","1200 61 1200 676 685 831","2G2.2",2017,NA
"40273","6","2017","8","2","6","0","0","0","0","0","NA","0","1","0","0","3","0","53","0","1","0","","2L1.2",2017,NA
"40274","6","2017","10","10","5","0","0","0","0","0","NA","0","1","0","0","3","0","27","6","1","0","","2L1.2",2017,NA
"40275","6","2017","18","15","5","0","0","0","0","0","NA","0","1","0","0","3","0","28","6","1","0","","2L1.2",2017,NA
"40276","6","2017","9","10","4","0","0","0","0","0","NA","0","1","0","0","3","0","35","5","1","10","1","2L1.2",2017,NA
"40277","6","2017","0","120","2","0","0","120","0","0","0","0","2","0","0","2","0","38","21","0","5","19","2D1.1",2017,NA
"40278","6","2017","151","151","9","0","0","0","1","0","NA","0","1","0","0","2","0","42","34","0","0","","2K2.1",2017,NA
"40279","6","2017","33","97","0","0","0","0","0","0","NA","1","2","0","0","2","1","54","16","0","10","2 3 1206 17 60 61 650","2B1.1",2017,NA
"40280","10","2016","24","46","3","0","0","0","0","0","NA","0","1","0","0","3","0","42","NA","1","10","3 4 1206 14 35 61 685","2L1.2",2017,NA
"40281","6","2017","12.03","10","0","0","0","0","0","0","NA","0","2","0","2","1","0","67","12","0","0","","2L1.1",2017,NA
"40282","6","2017","48","48","7","0","0","24","0","0","NA","0","1","0","0","3","0","60","8","1","0","19","2L2.2",2017,NA
"40283","6","2017","35","57","11","0","0","0","0","0","NA","0","1","0","0","3","0","52","21","1","7","2","2L1.2",2017,NA
