"","SENTMON","SENTYR","SENSPLT0","GLMIN","TOTCHPTS","IS924C","WEAPSOC","STATMIN","CAROFFAP","ACCAP","SAFE","NEWCNVTN","PRESENT","MITROLHI","AGGROLHI","NEWRACE","MONSEX","AGE","EDUCATN","NEWCIT","SENTRNGE","reason","GDLINEHI","opafy"
"173","12","2020","62.66","60","7","0","0","60","0","0","NA","0","1","0","0","2","0","32","32","0","0","828","2K1.4",2021
"174","12","2020","12.03","21","3","0","0","0","0","0","NA","0","1","0","0","3","0","36","6","1","8","61 826 831","2L1.2",2021
"175","12","2020","295","295","0","1","0","180","0","0","0","0","1","0","3","3","0","26","7","1","0","","2D1.1",2021
"176","12","2020","27","27","2","0","0","0","0","0","NA","0","1","0","0","2","0","23","10","0","0","","2B3.1",2021
"177","12","2020","106","130","10","1","0","84","0","0","NA","0","1","0","0","2","0","24","12","0","8","17 60 61 313","2B3.1",2021
"178","12","2020","21","15","2","0","0","0","0","0","NA","0","NA","0","0","1","1","35","12","0","0","","2K2.1",2021
"179","12","2020","144","188","6","0","0","60","0","0","NA","0","1","0","0","1","0","31","21","0","8","2 3 1206 16 60 61 699 703 1209","2G2.2",2021
"180","12","2020","6.03","21","1","0","0","0","0","0","NA","0","1","0","0","1","1","43","16","0","8","3 1206 7 1211 15 17 60 61 826 830","2B1.1",2021
"181","10","2020","8.18","8","2","0","0","0","0","0","NA","0","1","0","0","3","0","50","16","1","0","","2L1.2",2021
"182","12","2020","4.95","15","5","0","0","0","0","0","NA","0","1","0","0","6","0","35","34","1","4","500 2 60 61","2K2.1",2021
"183","12","2020","84","77","9","0","1","0","0","0","NA","0","1","0","0","1","0","30","21","0","0","","2B3.1",2021
"184","12","2020","57","65","17","0","0","24","0","0","NA","0","1","0","0","2","0","38","21","0","7","876","2B1.1",2021
"185","12","2020","120","120","11","0","0","120","0","0","0","0","1","0","0","1","0","46","34","0","0","","2D1.1",2021
"186","12","2020","63","78","3","0","0","60","0","0","NA","0","1","0","0","2","0","52","21","0","2","19","2K2.1",2021
"187","12","2020","5.16","0","0","0","0","0","0","0","NA","0","1","0","0","3","0","43","8","1","0","","2L1.2",2021
"188","12","2020","15","46","0","0","0","60","0","0","1","0","2","-2","0","1","0","29","37","0","3","48 3 1211 34","2D1.1",2021
"189","12","2020","96","168","0","0","1","0","0","0","0","0","2","0","0","3","1","59","6","0","7","11 1211 16 61 1200","2S1.1",2021
"190","12","2020","0","8","9","0","0","0","0","0","NA","0","2","0","0","1","0","39","21","0","7","2 15 60 61 676","2A5.2",2021
"191","12","2020","3.59","4","3","0","0","0","0","0","NA","0","1","0","0","3","0","33","8","1","0","48","2L1.2",2021
"192","10","2020","0.03","4","2","0","0","0","0","0","NA","0","1","0","0","3","0","36","9","1","0","","2L1.2",2021
"193","12","2020","24","33","20","0","0","0","0","0","NA","0","1","0","0","3","0","44","9","1","3","48 1206 60","2L1.2",2021
"194","12","2020","63","70","4","0","0","0","0","0","NA","0","2","0","0","1","0","44","8","0","2","19","2K2.1",2021
"195","12","2020","34","34","0","0","0","24","0","0","NA","0","1","0","0","2","0","23","11","1","0","","2B1.1",2021
"196","12","2020","0.03","21","3","0","0","0","0","0","NA","0","1","0","0","3","0","34","5","1","3","48 60 1200 1212 870","2L1.2",2021
"197","12","2020","111","111","2","1","0","84","0","0","NA","0","1","0","0","2","0","29","12","0","0","","2B3.1",2021
"198","12","2020","0.03","12","NA","0","NA","0","NA","NA","NA","0","1","NA","NA","3","0","42","NA","1","3","48 2 3 4 17 1209 44 60 61 703 876","NA",2021
"199","12","2020","18","63","0","0","0","120","0","0","1","0","1","-2","0","3","0","23","12","0","3","48 3 1206 11 17 1200 61 676 1200 686","2D1.1",2021
"200","12","2020","37","37","8","0","0","0","0","0","NA","0","1","0","0","3","0","48","11","1","0","","2L1.2",2021
"201","12","2020","24","15","8","0","0","0","0","0","NA","0","1","0","0","3","0","46","0","1","6","2 61","2L1.2",2021
"202","12","2020","0.03","10","4","0","0","0","0","0","NA","0","1","0","0","3","0","28","12","1","3","48","2L1.2",2021
